cia_id,cia_denominacion,cia_cuit,cia_sociedad_tipo,cia_actividad_principal
261,HORIZONTE COMPAÑIA ARGENTINA DE SEGUROS GENERALES SOCIEDAD ANÓNIMA,30500052089,Sociedad Anónima,Seguros Generales
275,CHUBB SEGUROS ARGENTINA S.A.,30500016260,Sociedad Anónima,Seguros Generales
286,SEGUROMETAL COOPERATIVA DE SEGUROS LIMITADA,30500055363,Cooperativa,Seguros Generales
297,ASEGURADORA DE CREDITOS Y GARANTIAS SOCIEDAD ANONIMA,30500064478,Sociedad Anónima,Seguros Generales
317,LA SEGUNDA COOPERATIVA LIMITADA DE SEGUROS GENERALES,30500017704,Cooperativa,Seguros Generales
329,ALBA COMPAÑÍA ARGENTINA DE SEGUROS SOCIEDAD ANONIMA,33500057039,Sociedad Anónima,Seguros Generales
330,PARANÁ SOCIEDAD ANONIMA DE SEGUROS,30500057102,Sociedad Anónima,Seguros Generales
333,HAMBURGO COMPAÑIA DE SEGUROS SOCIEDAD ANONIMA,30500057587,Sociedad Anónima,Seguros Generales
334,METROPOL COMPAÑÍA ARGENTINA DE SEGUROS SOCIEDAD ANONIMA,30500061339,Sociedad Anónima,Seguros Generales
335,BARBUSS RISK SEGUROS (ARGENTINA) S.A.,30500017011,Sociedad Anónima,Seguros Generales
348,PRODUCTORES DE FRUTAS ARGENTINAS COOPERATIVA DE SEGUROS LIMITADA,30500059180,Cooperativa,Seguros Generales
352,LIDERAR COMPAÑIA GENERAL DE SEGUROS S.A.,30500059490,Sociedad Anónima,Seguros Generales
360,RÍO URUGUAY COOPERATIVA DE SEGUROS LIMITADA,30500061711,Cooperativa,Seguros Generales
381,INSTITUTO ASEGURADOR MERCANTIL COMPAÑIA ARGENTINA DE SEGUROS SOCIEDAD ANÓNIMA IAM,30500063242,Sociedad Anónima,Seguros Generales
388,COOPERATIVA DE SEGUROS LUZ Y FUERZA LIMITADA,30518965715,Cooperativa,Seguros Generales
389,AGROSALTA COOPERATIVA DE SEGUROS LIMITADA,30500064850,Cooperativa,Seguros Generales
396,BBVA SEGUROS ARGENTINA S.A.,30500064230,Sociedad Anónima,Seguros Generales
402,TRIUNFO COOPERATIVA DE SEGUROS LIMITADA,30500065776,Cooperativa,Seguros Generales
404,CESCE ARGENTINA S.A. SEGUROS DE CREDITO Y  GARANTÍAS,30562751668,Sociedad Anónima,Seguros de Crédito
406,CARUSO COMPAÑÍA ARGENTINA DE SEGUROS SOCIEDAD ANÓNIMA,30518309427,Sociedad Anónima,Seguros Generales
409,PREVINCA SEGUROS SOCIEDAD ANONIMA,30500066144,Sociedad Anónima,Seguros Generales
412,COMPAÑIA ARGENTINA DE SEGUROS LATITUD SUR SOCIEDAD ANONIMA,30500066381,Sociedad Anónima,Seguros Generales
413,SENTIR SEGUROS SOCIEDAD ANONIMA,30562050775,Sociedad Anónima,Vida
415,ASEGURADORES DE CAUCIONES SOCIEDAD ANONIMA COMPAÑIA DE SEGUROS,30518919349,Sociedad Anónima,Seguros Generales
419,LA ESTRELLA S.A. COMPAÑÍA DE SEGUROS DE RETIRO,30620920874,Sociedad Anónima,Seguros de Retiro
423,ORÍGENES SEGUROS DE RETIRO S.A.,30624421899,Sociedad Anónima,Seguros de Retiro
425,FEDERACION PATRONAL SEGUROS DE RETIRO S.A.,30628555903,Sociedad Anónima,Seguros de Retiro
426,GALICIA RETIRO COMPAÑÌA DE SEGUROS SAU,30622930087,Sociedad Anónima,Seguros de Retiro
432,COMPAÑÍA DE SEGUROS MAÑANA SOCIEDAD ANÓNIMA,30628830092,Sociedad Anónima,Acc. Personales
436,LA SEGUNDA SEGUROS DE RETIRO SOCIEDAD ANONIMA,30627558763,Sociedad Anónima,Seguros de Retiro
437,INSTITUTO AUTARQUICO PROVINCIAL DEL SEGURO DE ENTRE RIOS SEGURO DE RETIRO SOCIEDAD ANONIMA,30630063481,Sociedad Anónima,Seguros de Retiro
438,SANTÍSIMA TRINIDAD SEGUROS DE VIDA SOCIEDAD ANONIMA,30628903391,Sociedad Anónima,Vida
440,RECONQUISTA ASEGURADORA DE RIESGOS DEL TRABAJO SOCIEDAD ANONIMA,30632781853,Sociedad Anónima,A.R.T.
442,SAN CRISTÓBAL SEGURO DE RETIRO SOCIEDAD ANONIMA,30624259269,Sociedad Anónima,Seguros de Retiro
443,GGAL SEGUROS DE RETIRO S.A.,30643103652,Sociedad Anónima,Seguros de Retiro
456,ZURICH INSURANCE COMPANY.,,Extranjera,Reaseg. Admitida
458,SWISS REINSURANCE COMPANY LTD.,,Extranjera,Reaseg. Admitida
459,GENERAL REINSURANCE AG,,Extranjera,Reaseg. Admitida
461,MUNCHENER RUCKVERSICHERUNGS GESELLSCHAFT,,Extranjera,Reaseg. Admitida
463,ASSICURAZIONI GENERALI S.P.A.,,Extranjera,Reaseg. Admitida
464,SCOR SE,,Extranjera,Reaseg. Admitida
467,MAPFRE RE COMPAÑIA DE REASEGUROS S.A.,,Extranjera,Reaseg. Admitida
469,ALLIANZ SE,,Extranjera,Reaseg. Admitida
477,HANNOVER RÜCK SE,,Extranjera,Reaseg. Admitida
484,PROYECCION SEGUROS DE RETIRO S.A.,33659131299,Sociedad Anónima,Seguros de Retiro
485,TOKIO MARINE & NICHIDO FIRE INSURANCE CO LTD,,Extranjera,Reaseg. Admitida
491,CERTEZA COMPAÑIA DE SEGUROS S.A.,30652834317,Sociedad Anónima,Vida
498,SANTA LUCÍA S.A. COMPAÑÍA DE SEGUROS,30663191930,Sociedad Anónima,Sepelio
499,PROVINCIA SEGUROS SOCIEDAD ANONIMA,30527508165,Sociedad Anónima,Seguros Generales
500,SAN PATRICIO SEGUROS S.A.,30661912614,Sociedad Anónima,Vida
501,CAJA DE SEGUROS S.A.,30663205621,Sociedad Anónima,Seguros Generales
515,NACIÓN SEGUROS S.A.,30678561165,Sociedad Anónima,Seguros Generales
516,GGAL SEGUROS S.A.,30663221317,Sociedad Anónima,Vida
517,BINARIA SEGUROS DE VIDA S.A.,30678158506,Sociedad Anónima,Vida
528,PROVIDENCIA COMPAÑIA ARGENTINA DE SEGUROS S.A.,30677290478,Sociedad Anónima,Seguros Generales
530,BINARIA SEGUROS DE RETIRO S.A.,30678158433,Sociedad Anónima,Seguros de Retiro
532,PROVINCIA SEGUROS DE VIDA S. A.,30678832576,Sociedad Anónima,Vida
534,NACIÓN SEGUROS DE RETIRO S.A.,30678582669,Sociedad Anónima,Seguros de Retiro
540,"ASV ARGENTINA SALUD, VIDA Y PATRIMONIALES COMPAÑIA DE SEGUROS S.A.",30678184779,Sociedad Anónima,Vida
541,ZURICH INTERNATIONAL LIFE LIMITED SUCURSAL ARGENTINA,30679657158,Sucursal,Vida
546,PLENARIA SEGUROS S.A.,30678608439,Sociedad Anónima,Vida
553,CRUZ SUIZA COMPAÑÍA DE SEGUROS S.A.,30679888842,Sociedad Anónima,Vida
555,BENEFICIO S.A. COMPAÑIA DE SEGUROS,30680827520,Sociedad Anónima,Seguros Generales
557,NATIONAL UNION FIRE INSURANCE COMPANY OF PITTSBURGH PA,,Extranjera,Reaseg. Admitida
562,FEDERAL INSURANCE COMPANY,,Extranjera,Reaseg. Admitida
568,TRANSATLANTIC REINSURANCE COMPANY,,Extranjera,Reaseg. Admitida
572,ALLIANZ GLOBAL RISKS US INSURANCE COMPANY,,Extranjera,Reaseg. Admitida
573,BONACORSI  SEGUROS DE PERSONAS S.A.,30651009495,Sociedad Anónima,Sepelio
574,SOL NACIENTE SEGUROS SOCIEDAD ANONIMA,30682509550,Sociedad Anónima,Seguros Generales
576,CNP ASSURANCES COMPAÑIA DE SEGUROS S.A.,30682408622,Sociedad Anónima,Seguros Generales
578,TRES PROVINCIAS SEGUROS DE PERSONAS S.A.,30684193038,Sociedad Anónima,Sepelio
579,TESTIMONIO COMPAÑÍA DE SEGUROS S.A.,30686244330,Sociedad Anónima,Seguros Generales
580,SMG LIFE SEGUROS DE VIDA SAU,30685843400,Sociedad Anónima,Vida
589,GALICIA SEGUROS SAU,30687145522,Sociedad Anónima,Seguros Generales
591,LA PREVISORA S.A. SEGUROS DE SEPELIO,30681314306,Sociedad Anónima,Sepelio
595,SUPERVIELLE SEGUROS S.A.,30682500855,Sociedad Anónima,Seguros de Crédito
596,LA TERRITORIAL VIDA Y SALUD COMPAÑÍA DE SEGUROS SOCIEDAD ANÓNIMA,30682500782,Sociedad Anónima,Vida
604,CREDICOOP COMPAÑIA DE SEGUROS DE RETIRO S.A.,33685226389,Sociedad Anónima,Seguros de Retiro
605,SWISS MEDICAL ART  SAU,33686262869,Sociedad Anónima,A.R.T.
616,EXPERTA ASEGURADORA DE RIESGOS DEL TRABAJO SA,30687156168,Sociedad Anónima,A.R.T.
618,LA SEGUNDA ASEGURADORA DE RIESGOS DEL TRABAJO SOCIEDAD ANÓNIMA,30689133483,Sociedad Anónima,A.R.T.
619,GALENO ASEGURADORA DE RIESGOS DEL TRABAJO S.A.,30685228501,Sociedad Anónima,A.R.T.
620,ASOCIART S.A. ASEGURADORA DE RIESGOS DEL TRABAJO,30686273330,Sociedad Anónima,A.R.T.
621,PROVINCIA ASEGURADORA DE RIESGOS DEL TRABAJO S.A.,30688254090,Sociedad Anónima,A.R.T.
624,BERKLEY INTERNATIONAL ASEGURADORA DE RIESGOS DEL TRABAJO SOCIEDAD ANONIMA,30685893076,Sociedad Anónima,A.R.T.
626,PREVENCIÓN ASEGURADORA DE RIESGOS DEL TRABAJO S.A.,30684361917,Sociedad Anónima,A.R.T.
632,MISTA SEGUROS DE PERSONAS S.A.,30682088318,Sociedad Anónima,Todas
635,BERKLEY INSURANCE COMPANY,,Extranjera,Reaseg. Admitida
639,REASEGURADORA PATRIA S.A.,,Extranjera,Reaseg. Admitida
643,PIEVE SEGUROS SOCIEDAD ANONIMA,30690671367,Sociedad Anónima,Sepelio
656,CREDITO Y CAUCION S.A. COMPAÑÍA DE SEGUROS,30687874354,Sociedad Anónima,Caución
657,"VIRGINIA SURETY COMPANY, INC.",,Extranjera,Reaseg. Admitida
661,INSTITUTO DE SALTA COMPAÑÍA DE SEGUROS DE VIDA SAU,30690674889,Sociedad Anónima,Vida
662,NIVEL SEGUROS S.A.,30690674641,Sociedad Anónima,Seguros Generales
665,SUMICLI  ASOCIACION MUTUAL DE SEGUROS,33690685979,Mutual,Seguros Generales
678,MUTUAL RIVADAVIA DE SEGUROS DEL TRANSPORTE PÚBLICO DE PASAJEROS,30692103560,Mutual,Transporte Público
679,PROTECCIÓN MUTUAL DE SEGUROS DEL TRANSPORTE PÚBLICO DE PASAJEROS,30694505690,Mutual,Transporte Público
680,ARGOS MUTUAL DE SEGUROS DEL TRANSPORTE PÚBLICO DE PASAJEROS,30696164203,Mutual,Transporte Público
681,GARANTÍA MUTUAL DE SEGUROS DEL TRANSPORTE PÚBLICO DE PASAJEROS,30696857837,Mutual,Transporte Público
682,METROPOL SOCIEDAD DE SEGUROS MUTUOS,30696880278,Mutual,Transporte Público
683,ODYSSEY REINSURANCE COMPANY,,Extranjera,Reaseg. Admitida
686,COMPAGNIE FRANCAISE D´ASSURANCE POUR LE COMMERCE EXTERIEUR (SUCURSAL ARGENTINA),30697250367,Sucursal,Seguros de Crédito
692,ZURICH SANTANDER SEGUROS ARGENTINA S.A.,30698965459,Sociedad Anónima,Seguros Generales
695,BHN VIDA S.A.,30693503953,Sociedad Anónima,Vida
696,BHN SEGUROS GENERALES S.A.,30693504186,Sociedad Anónima,Seguros Generales
698,INTACT INSURANCE UK LIMITED,,Extranjera,Reaseg. Admitida
699,MAPFRE ARGENTINA SEGUROS DE VIDA S.A.,33700893729,Sociedad Anónima,Vida
700,LIBERTY MUTUAL INSURANCE COMPANY,,Extranjera,Reaseg. Admitida
703,IRB-BRASIL RESSEGUROS S.A.,,Extranjera,Reaseg. Admitida
705,LIBERTY MUTUAL INSURANCE EUROPE SE,,Extranjera,Reaseg. Admitida
707,AMERICAN BANKERS INSURANCE COMPANY OF FLORIDA,,Extranjera,Reaseg. Admitida
710,SMG LIFE COMPAÑÍA DE SEGUROS DE RETIRO SAU,30700964805,Sociedad Anónima,Seguros de Retiro
714,COMPAGNIE FRANCAISE D`ASSURANCE POUR LE COMMERCE EXTERIEUR,,Extranjera,Reaseg. Admitida
716,EL PROGRESO SEGUROS SOCIEDAD ANONIMA,30701829723,Sociedad Anónima,Seguros Generales
720,INTÉGRITY SEGUROS ARGENTINA S.A.,30704961983,Sociedad Anónima,Seguros Generales
721,CAJA DE PREVISIÓN Y SEGURO MÉDICO DE LA PROVINCIA DE BS.AS,30542265317,Organismo Oficial,Vida
725,COSENA SEGUROS S.A.,30707201882,Sociedad Anónima,Seguros Generales
726,FEDERACIÓN PATRONAL SEGUROS S.A.U.,33707366589,Sociedad Anónima,Seguros  Gen.-ART
728,INSTITUTO DE SEGUROS SOCIEDAD ANÓNIMA,30707250484,Sociedad Anónima,Seguros Generales
738,LLOYD´S,,Extranjera,Reaseg. Admitida
739,MITSUI SUMITOMO INSURANCE COMPANY LIMITED,,Extranjera,Reaseg. Admitida
742,SWISS REINSURANCE AMERICA CORPORATION,,Extranjera,Reaseg. Admitida
743,XL INSURANCE COMPANY SE,,Extranjera,Reaseg. Admitida
744,NOBLE COMPAÑÍA DE SEGUROS SOCIEDAD ANÓNIMA,30708127155,Sociedad Anónima,Seguros Generales
745,"MAPFRE GLOBAL RISKS, COMPAÑIA INTERNACIONAL DE SEGUROS Y REASEGUROS S.A.",,Extranjera,Reaseg. Admitida
747,SMSV COMPAÑIA ARGENTINA DE SEGUROS S.A.,30708333189,Sociedad Anónima,Todas
749,SEGUROS MÉDICOS SAU,30708340908,Sociedad Anónima,Seguros Generales
755,AFIANZADORA LATINOAMERICANA COMPAÑÍA DE SEGUROS S.A.,30709187941,Sociedad Anónima,Caución
756,"MAPFRE ASISTENCIA, CÍA. INTERNACIONAL DE SEG. Y REASEGUROS",,Extranjera,Reaseg. Admitida
764,ZURICH INSURANCE PUBLIC LIMITED COMPANY,,Extranjera,Reaseg. Admitida
767,SCOR REINSURANCE COMPANY,,Extranjera,Reaseg. Admitida
771,ASSEKURANSA COMPAÑÍA DE SEGUROS SOCIEDAD ANÓNIMA,30709541036,Sociedad Anónima,Seguros Generales
775,PARTNER REINSURANCE EUROPE SE,,Extranjera,Reaseg. Admitida
776,TRAVELERS CASUALTY AND SURETY COMPANY OF AMERICA,,Extranjera,Reaseg. Admitida
778,HANSEATICA COMPAÑIA  DE SEGUROS SOCIEDAD ANÓNIMA,30710233744,Sociedad Anónima,Seguros Generales
780,COMPAÑIA DE SEGUROS INSUR S.A.,30710345364,Sociedad Anónima,Caución
786,STARR INDEMNITY & LIABILITY COMPANY,,Extranjera,Reaseg. Admitida
787,AXIS RE SE,,Extranjera,Reaseg. Admitida
794,ALLIANZ GLOBAL CORPORATE & SPECIALTY SE,,Extranjera,Reaseg. Admitida
799,ZURICH LIFE INSURANCE COMPANY LTD.,,Extranjera,Reaseg. Admitida
801,FACTORY MUTUAL INSURANCE COMPANY,,Extranjera,Reaseg. Admitida
802,ASPEN INSURANCE UK LIMITED,,Extranjera,Reaseg. Admitida
804,AMERICAN HOME ASSURANCE COMPANY,,Extranjera,Reaseg. Admitida
805,STARSTONE INSURANCE SE,,Extranjera,Reaseg. Admitida
809,COMARSEG COMPAÑIA ARGENTINA DE SEGUROS S.A.,33711246989,Sociedad Anónima,Seguros Generales
811,HDI GLOBAL NETWORK AG,,Extranjera,Reaseg. Admitida
812,ATM COMPAÑÍA DE SEGUROS S.A.,30699408154,Sociedad Anónima,Seguros Generales
818,TT CLUB MUTUAL INSURANCE LIMITED,,Extranjera,Reaseg. Admitida
819,ARCH INSURANCE COMPANY (EUROPE) LIMITED,,Extranjera,Reaseg. Admitida
820,BIND SEGUROS S.A,30711668302,Sociedad Anónima,Vida
821,CONFLUENCIA COMPAÑIA DE SEGUROS S.A.,30711416060,Sociedad Anónima,Seguros Generales
822,COMPAÑÍA DE SEGUROS DE JUJUY SOCIEDAD DEL ESTADO,30717794784,Organismo Oficial,Seguros Generales
824,INTERNATIONAL TRANSPORT INTERMEDIARIES CLUB LIMITED,,Extranjera,Reaseg. Admitida
825,ARCH REINSURANCE EUROPE UNDERWRITING DESIGNATED ACTIVITY COMPANY,,Extranjera,Reaseg. Admitida
826,MAPFRE RE COMPAÑIA DE REASEGUROS S.A. (SUCURSAL ARGENTINA),30712041540,Sucursal,Reaseg. Local
827,IRB BRASIL RESSEGUROS S.A. (SUCURSAL ARGENTINA),30711981833,Sucursal,Reaseg. Local
828,BERKLEY ARGENTINA DE REASEGUROS S.A.,30712143416,Sociedad Anónima,Reaseg. Local
829,"STARR INDEMNITY & LIABILITY COMPANY, SUCURSAL ARGENTINA, DE SEGUROS",30712122478,Sucursal,Seguros Generales
830,COMPAÑÍA ASEGURADORA DEL SUR S.A.,30712178147,Sociedad Anónima,Seguros Generales
831,ASEGURADORES ARGENTINOS COMPAÑIA DE REASEGUROS S.A.,30712147705,Sociedad Anónima,Reaseg. Local
832,NACION REASEGUROS S.A.,30712240993,Sociedad Anónima,Reaseg. Local
833,REUNION RE COMPAÑIA DE REASEGUROS S.A.,30712162372,Sociedad Anónima,Reaseg. Local
834,ROYAL & SUN ALLIANCE REINSURANCE LIMITED,,Extranjera,Reaseg. Admitida
835,ACE PROPERTY AND CASUALTY INSURANCE COMPANY,,Extranjera,Reaseg. Admitida
836,FEDERACION PATRONAL REASEGUROS S.A.,30712295933,Sociedad Anónima,Reaseg. Local
837,ALLIANZ RE ARGENTINA S.A.,30712273743,Sociedad Anónima,Reaseg. Local
838,ZURICH COMPAÑIA DE REASEGUROS ARGENTINA S.A.,30712269282,Sociedad Anónima,Reaseg. Local
839,GENERALI ESPAÑA SOCIEDAD ANONIMA DE SEGUROS Y REASEGUROS,,Extranjera,Reaseg. Admitida
840,SCOR UK COMPANY LIMITED,,Extranjera,Reaseg. Admitida
841,TUTELAR SEGUROS SOCIEDAD ANONIMA,30711442754,Sociedad Anónima,Seguros Generales
842,ALTERRA EUROPE P.L.C.,,Extranjera,Reaseg. Admitida
844,ANTICIPAR COMPAÑÍA DE SEGUROS S.A.,30711517495,Sociedad Anónima,Sepelio
845,N.S.A. SEGUROS GENERALES S.A.,30712341447,Sociedad Anónima,Sepelio
846,REASEGURADORES ARGENTINOS S.A.,30712311882,Sociedad Anónima,Reaseg. Local
847,SAN GERMAN SEGUROS S.A.,30712344594,Sociedad Anónima,Sepelio
848,SEGURCOOP COOPERATIVA DE REASEGUROS LIMITADA,30712479090,Cooperativa,Reaseg. Local
852,LIBRA COMPAÑIA ARGENTINA DE SEGUROS S.A.,30712332820,Sociedad Anónima,Seguros Generales
853,BEST MERIDIAN INSURANCE COMPANY,,Extranjera,Reaseg. Admitida
854,NATIONALE BORG REINSURANCE N.V.,,Extranjera,Reaseg. Admitida
857,ASEGURADORA DEL FINISTERRE COMPAÑÍA ARGENTINA DE SEGUROS S.A.,30712340297,Sociedad Anónima,Seguros Generales
858,LIDER MOTOS COMPAÑÍA DE SEGUROS S.A.,33712349579,Sociedad Anónima,Seguros Generales
859,TRAVELERS PROPERTY CASUALTY COMPANY OF AMERICA,,Extranjera,Reaseg. Admitida
860,PUNTO SUR SOCIEDAD ARGENTINA DE REASEGUROS S.A.,30712115870,Sociedad Anónima,Reaseg. Local
861,COLON COMPAÑÍA DE SEGUROS SOCIEDAD ANONIMA,30712497641,Sociedad Anónima,Seguros Generales
862,SERENA ASEGURADORA DE RIESGOS DEL TRABAJO S.A.U.,30712341803,Sociedad Anónima,A.R.T.
864,ACE AMERICAN INSURANCE COMPANY (SUCURSAL ARGENTINA),30712255036,Sucursal,Reaseg. Local
867,WORANZ COMPAÑÍA DE SEGUROS S.A.,30712162488,Sociedad Anónima,Seguros Generales
868,AURORA COMPAÑÍA ARGENTINA DE SEGUROS PATRIMONIALES Y DE PERSONAS S.A.,30712337121,Sociedad Anónima,Seguros Generales
869,OPCIÓN SEGUROS S.A.,30714358797,Sociedad Anónima,Seguros Generales
871,ENDURANCE WORLDWIDE INSURANCE LIMITED,,Extranjera,Reaseg. Admitida
872,DIGNA SEGUROS S.A.,30712148582,Sociedad Anónima,Sepelio
874,FEDERADA COMPAÑÍA DE SEGUROS DE PERSONAS SAU,30712484744,Sociedad Anónima,Vida
875,MARKEL INTERNATIONAL INSURANCE COMPANY LIMITED,,Extranjera,Reaseg. Admitida
876,AMTRUST SPECIALTY LIMITED,,Extranjera,Reaseg. Admitida
878,GALENO SEGUROS S.A.,30714395196,Sociedad Anónima,Seguros Generales
879,QUALIA COMPAÑÍA DE SEGUROS S.A.,30714496804,Sociedad Anónima,Seguros Generales
880,EXPERTA SEGUROS S.A.,30714590541,Sociedad Anónima,Seguros Generales
882,GESTION COMPAÑÍA ARGENTINA DE SEGUROS S.A.,30714838810,Sociedad Anónima,Seguros Generales
883,QBE CAPITAL (GLOBAL) LTD.,,Extranjera,Reaseg. Admitida
884,NAVIGATORS INSURANCE COMPANY,,Extranjera,Reaseg. Admitida
885,HELVETIA SCHWEIZERISCHE VERSICHERUNGSGESELLSCHAFT AG (HELVETIA COMPAÑÍA SUIZA DE SEGUROS S.A.),,Extranjera,Reaseg. Admitida
886,STARR INSURANCE & REINSURANCE LIMITED,,Extranjera,Reaseg. Admitida
888,STELLANTIS INSURANCE COMPAÑIA DE SEGUROS S.A.U.,30715165577,Sociedad Anónima,Vida
889,AUSTRAL RESSEGURADORA S.A.,,Extranjera,Reaseg. Admitida
890,MUTUAL DE EMPLEADOS Y OBREROS PETROLEROS PRIVADOS ART MUTUAL,30715002953,Mutual,A.R.T.
891,ANTARES REINSURANCE COMPANY LIMITED,,Extranjera,Reaseg. Admitida
892,HDI GLOBAL S.E.,,Extranjera,Reaseg. Admitida
893,BARENTS RE REINSURANCE COMPANY INC,,Extranjera,Reaseg. Admitida
894,OMINT S.A. COMPAÑÍA DE SEGUROS,30714838926,Sociedad Anónima,Vida
895,PACÍFICO COMPAÑÍA DE SEGUROS S.A.,30715141716,Sociedad Anónima,Caución
897,BALOISE INSURANCE LTD,,Extranjera,Reaseg. Admitida
899,KOREAN REINSURANCE COMPANY,,Extranjera,Reaseg. Admitida
900,SIRIUSPOINT INTERNATIONAL INSURANCE CORPORATION (PUBL),,Extranjera,Reaseg. Admitida
901,GARD MARINE & ENERGY LIMITED,,Extranjera,Reaseg. Admitida
903,WESTPORT INSURANCE CORPORATION,,Extranjera,Reaseg. Admitida
905,ALLIED WORLD ASSURANCE COMPANY LTD,33535589769,Extranjera,Reaseg. Admitida
906,AXIS SPECIALTY EUROPE SE,,Extranjera,Reaseg. Admitida
907,BEST MERIDIAN INTERNATIONAL INSURANCE COMPANY SPC,,Extranjera,Reaseg. Admitida
